binary_name,project,algorithm_label,architecture,optimization_level,compiler,compiler_version,build_type,build_system,binary_type,crypto_library,aes_constant,aes_constant_count,aes_symbol,arithmetic_count,basic_block_count_estimate,binary_size,blowfish_constant_count,branch_count,call_count,call_graph_fanout_estimate,cfg_edge_count_estimate,chacha20_constant_count,chacha_symbol,compiler_hints,cyclomatic_complexity_estimate,des_symbol,ecc_curve_p_256,ecc_curve_p_384,ecc_curve_p_521,ecc_curve_secp256k1,ecc_symbol,entropy,entry_point,executable_section_ratio,export_count,function_count,import_count,import_libraries,instruction_count,instruction_entropy,jump_count,known_crypto_library,logical_count,md5_constant,md5_constant_count,memory_count,opcode_bigram_entropy,opcode_bigram_unique_ratio,opcode_trigram_entropy,opcode_trigram_unique_ratio,optimization_hints,readonly_section_ratio,return_count,rsa_exponent_present,rsa_symbol,section_count,segment_count,sha1_constant,sha1_constant_count,sha224_constant_count,sha256_constant_count,sha384_constant_count,sha512_constant_count,sha_constant,sha_symbol,string_count,symbol_count,unique_opcode_ratio,writable_section_ratio
argon2-fill-block-avx2__clang_O0_debug.o,libsodium,Argon2,x86_64,O0,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,,,688,0,,,,,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),,False,False,False,False,False,False,2.178943,0,,0,1,0,,,,,False,,False,0,,,,,,likely_release_or_stripped,,,False,False,7,0,False,0,0,0,0,0,False,False,8,1,,
argon2-core__clang_O1_release.o,libsodium,Argon2,x86_64,O1,clang,clang (cached build),release,direct_compile,object,libsodium,False,0,False,26.0,99.0,4768,0,98.0,38.0,2.533333,98.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.588319,0,,5,15,0,,465.0,3.51379,60.0,False,33.0,False,0,232.0,5.571797,0.241379,6.822564,0.429806,likely_release_or_stripped,,11.0,False,False,10,0,False,0,0,0,0,0,False,False,38,15,0.058065,
argon2-fill-block-ssse3__clang_O2_debug.o,libsodium,Argon2,x86_64,O2,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,,,688,0,,,,,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),,False,False,False,False,False,False,2.186709,0,,0,1,0,,,,,False,,False,0,,,,,,likely_release_or_stripped,,,False,False,7,0,False,0,0,0,0,0,False,False,8,1,,
argon2-encoding__gcc_O1_release.o,libsodium,Argon2,x86_64,O1,gcc,gcc (cached build),release,direct_compile,object,libsodium,False,0,False,55.0,151.0,5384,0,150.0,31.0,1.722222,150.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,False,4.838982,0,,2,18,0,,629.0,3.534504,119.0,False,22.0,False,0,327.0,5.706148,0.16879,6.925227,0.330144,likely_release_or_stripped,,4.0,False,False,14,0,False,0,0,0,0,0,False,False,39,18,0.044515,
argon2-encoding__clang_O3_release.o,libsodium,Argon2,x86_64,O3,clang,clang (cached build),release,direct_compile,object,libsodium,False,0,False,54.0,89.0,4440,0,88.0,29.0,1.8125,88.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.768106,0,,2,16,0,,458.0,3.788851,59.0,False,24.0,False,0,230.0,6.023771,0.258206,7.113255,0.429825,likely_release_or_stripped,,4.0,False,False,11,0,False,0,0,0,0,0,False,False,51,16,0.067686,
argon2-fill-block-ssse3__gcc_O1_debug.o,libsodium,Argon2,x86_64,O1,gcc,gcc (cached build),debug,direct_compile,object,libsodium,False,0,False,,,3088,0,,,,,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,,False,False,False,False,False,False,3.157979,0,,0,1,0,,,,,False,,False,0,,,,,,likely_debug_or_unoptimized,,,False,False,19,0,False,0,0,0,0,0,False,False,34,1,,
argon2-fill-block-wasm32__gcc_O2_debug.o,libsodium,Argon2,x86_64,O2,gcc,gcc (cached build),debug,direct_compile,object,libsodium,False,0,False,,,3088,0,,,,,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,,False,False,False,False,False,False,3.169247,0,,0,1,0,,,,,False,,False,0,,,,,,likely_debug_or_unoptimized,,,False,False,19,0,False,0,0,0,0,0,False,False,34,1,,
argon2-fill-block-neon__clang_O2_debug.o,libsodium,Argon2,x86_64,O2,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,,,688,0,,,,,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),,False,False,False,False,False,False,2.17061,0,,0,1,0,,,,,False,,False,0,,,,,,likely_release_or_stripped,,,False,False,7,0,False,0,0,0,0,0,False,False,8,1,,
argon2-encoding__clang_O0_debug.o,libsodium,Argon2,x86_64,O0,clang,clang (cached build),debug,direct_compile,object,libsodium,False,0,False,66.0,174.0,17616,0,173.0,42.0,2.1,173.0,0,False,Ubuntu clang version 18.1.3 (1ubuntu1),1.0,False,False,False,False,False,False,4.632298,0,,2,20,0,,731.0,2.707164,131.0,False,5.0,False,0,427.0,4.557244,0.09726,5.898858,0.186557,likely_debug_or_unoptimized,,4.0,False,False,22,0,False,0,0,0,0,0,False,False,152,20,0.0342,
pwhash_argon2i__gcc_O2_debug.o,libsodium,Argon2,x86_64,O2,gcc,gcc (cached build),debug,direct_compile,object,libsodium,False,0,False,19.0,52.0,22696,0,51.0,19.0,0.513514,51.0,0,False,GCC: (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,1.0,False,False,False,False,False,False,4.350257,0,,23,37,0,,334.0,3.777202,32.0,False,19.0,False,0,145.0,5.648422,0.303303,6.59905,0.493976,likely_debug_or_unoptimized,,22.0,False,False,25,0,False,0,0,0,0,0,False,False,215,37,0.077844,
